monthyear,Count
2013-10,365
2013-11,324
2013-12,405
2014-01,359
2014-02,340
2014-03,389
2014-04,331
2014-05,354
2014-06,354
2014-07,446
2014-08,486
2014-09,379
2014-10,354
2014-11,328
2014-12,428
2015-01,399
2015-02,381
2015-03,370
2015-04,328
2015-05,449
2015-06,390
2015-07,379
2015-08,392
2015-09,356
2015-10,338
2015-11,333
2015-12,361
2016-01,364
2016-02,394
2016-03,377
2016-04,344
2016-05,422
2016-06,443
2016-07,481
2016-08,401
2016-09,410
2016-10,389
2016-11,394
2016-12,422
2017-01,451
2017-02,463
2017-03,321
2017-04,370
2017-05,447
2017-06,357
2017-07,412
2017-08,407
2017-09,367
2017-10,422
2017-11,309
2017-12,51
